id,country,university
1,AD,University of Andorra
2,AE,Abu Dhabi University
3,AE,Ajman University of Science & Technology
4,AE,Alain University of Science and Technology
5,AE,Al Ghurair University
6,AE,Alhosn University
7,AE,Al Khawarizmi International College
8,AE,American College Of Dubai
9,AE,American University in Dubai
10,AE,American University in the Emirates
11,AE,American University of Sharjah
12,AE,British University in Dubai
13,AE,Dubai Medical College for Girls
14,AE,Dubai Pharmacy College
15,AE,Etisalat University College
16,AE,Gulf Medical University
17,AE,Hamdan Bin Mohammed e-University
18,AE,Higher Colleges of Technology
19,AE,Ittihad University
20,AE,Jumeira University
21,AE,Khalifa University
22,AE,"Khalifa University of Science, Technology and Research"
23,AE,Masdar University Of Science And Technology
24,AE,"New York University, Abu Dhabi"
25,AE,Paris-Sorbonne University Abu Dhabi
26,AE,Rak Medical & Health Sciences University
27,AE,"Rochester Institute of Technology, Dubai"
28,AE,"Skyline University College, Sharjah"
29,AE,"Synergy University, Dubai Campus"
30,AE,The Emirates Academy of Hotel Managment
31,AE,The Petroleum Institute
32,AE,United Arab Emirates University
33,AE,University Of Dubai
34,AE,University of Jazeera
35,AE,University of Sharjah
36,AE,University of Wollongong - Dubai Campus
37,AE,Zayed University
38,AF,Afghan University
39,AF,Al-Birony University
40,AF,American University of Afghanistan
41,AF,Aria Institute of Higher Education
42,AF,Badakhshan University
43,AF,Baghlan University
44,AF,Bakhtar University
45,AF,Balkh University
46,AF,Bamiyan University
47,AF,Bost University
48,AF,Dawat University
49,AF,Dunya Institute of Higher Education
50,AF,Faryab Higher Education Institute
51,AF,Ghazni University
52,AF,Herat University
53,AF,Ibn Sina University
54,AF,Jawzjan University
55,AF,Kaboora Institute of Higher Education
56,AF,Kabul Education University
57,AF,Kabul Health Sciences Institute
58,AF,Kabul Medical University
59,AF,Kabul University
60,AF,Kandahar University
61,AF,Kardan University
62,AF,Karwan Institute of Higher Education
63,AF,Kateb Institute of Higher Education
64,AF,Khana-e-Noor Institute of Higher Education
65,AF,Khurasan University
66,AF,Maryam Institute of Higher Education
67,AF,Nangarhar University
68,AF,National Military Academy of Afghanistan
69,AF,Paktia University
70,AF,Pamir University
71,AF,Parwan University
72,AF,Polytechnical University of Kabul
73,AF,Rana Institute of Higher Education
74,AF,Sadat Institute of Higher Education
75,AF,Salam University
76,AF,Shaikh Zayed University
77,AF,Taj Institute of Higher Education
78,AF,Takhar University
79,AG,American University of Antigua
80,AG,University of Health Sciences Antigua
81,AL,Academy of Arts
82,AL,Academy of Sports and Physical Training
83,AL,Agricultural University of Tirane
84,AL,American University of Tirana
85,AL,Beder University
86,AL,Epoka University
87,AL,Polytechnic University of Tirane
88,AL,"University of Elbasan ""Aleksander Xhuvani"""
89,AL,"University of Gjirokstra ""Eqerem Cabej"""
90,AL,"University of Korca ""Fan Noli"""
91,AL,University of New York Tirana
92,AL,"University of Shkodra ""Luigj Gurakuqi"""
93,AL,University of Tirana
94,AL,"University of Vlora ""Ismail Qemali"""
95,AL,University “Pavaresia” Vlore
96,AM,American University of Armenia
97,AM,Armenian State Agrarian University
98,AM,Armenian State University of Economics
99,AM,Eurasia International University
100,AM,European Regional Educational Academy of Armenia
101,AM,French University in Armenia (UFAR)
102,AM,Mehrabyan Medical Institute and Medical College
103,AM,Russian-Armenian (Slavonic) State University
104,AM,State Engineering University of Armenia
105,AM,Yerevan Haibusak University
106,AM,Yerevan State Medical University
107,AM,Yerevan State University
108,AN,"American University of the Caribbean, Sint Maarten"
109,AN,International University School of Medicine (IUSOM)
110,AN,"St.James's School of Medicine, Bonaire"
111,AN,University of Sint Eustatius School of Medicine
112,AN,"University of the Netherlands Antilles, Curacao"
113,AO,Universidade Católica de Angola
114,AO,Universidade Gregorio Semedo
115,AO,Universidade Independente de Angola
116,AO,Universidade Lusíada de Angola
117,AO,Universidade Metodista de Angola
118,AO,Universidade Metropolitana de Angola
119,AO,Universidade Tecnica de Angola
120,AO,Univesidade Agostinho Neto
121,AR,Instituto de Enseñanza Superior del Ejército
122,AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano"""
123,AR,Instituto Tecnológico de Buenos Aires
124,AR,Instituto Universitario Aeronáutico
125,AR,Instituto Universitario CEMA
126,AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló
127,AR,Instituto Universitario de Estudios Navales y Marítimos
128,AR,Instituto Universitario de la Policia Federal
129,AR,Instituto Universitario Nacional del Arte
130,AR,Universidad Abierta Interamericana
131,AR,Universidad Adventista del Plata
132,AR,Universidad Argentina de la Empresa
133,AR,"Universidad Argentina ""John F. Kennedy"""
134,AR,Universidad Atlantida Argentina
135,AR,Universidad Austral Buenos Aires
136,AR,Universidad Autónoma de Entre Ríos
137,AR,Universidad Blas Pascal
138,AR,"Universidad CAECE, Buenos Aires"
139,AR,Universidad Católica Argentina Santa Maria de los Buenos Aires
140,AR,Universidad Católica de Córdoba
141,AR,Universidad Católica de Cuyo
142,AR,Universidad Católica de La Plata
143,AR,Universidad Católica de Salta
144,AR,Universidad Católica de Santa Fé
145,AR,Universidad Católica de Santiago del Estero
146,AR,Universidad Champagnat
147,AR,Universidad de Belgrano
148,AR,Universidad de Bologna - Representación en Buenos Aires
149,AR,Universidad de Buenos Aires
150,AR,Universidad de Ciencias Empresariales y Sociales
151,AR,Universidad de Concepción del Uruguay
152,AR,Universidad de Congreso
153,AR,Universidad de Flores - Buenos Aires
154,AR,Universidad del Aconcagua
155,AR,Universidad de la Cuenca del Plata
156,AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA)
157,AR,Universidad de la Marina Mercante
158,AR,Universidad del Centro Educativo Latinoamericano Rosario
159,AR,Universidad del Cine - Buenos Aires
160,AR,Universidad del Museo Social Argentino
161,AR,"Universidad del Norte ""Santo Tomás de Aquino"""
162,AR,Universidad del Salvador
163,AR,Universidad de Mendoza
164,AR,Universidad de Morón
165,AR,Universidad de Palermo
166,AR,Universidad de San Andres
167,AR,Universidad Empresarial Siglio 21
168,AR,Universidad ISALUD
169,AR,"Universidad ""Juan Agustín Maza"""
170,AR,Universidad Maimónides
171,AR,Universidad Nacional de Catamarca
172,AR,Universidad Nacional de Córdoba
173,AR,Universidad Nacional de Cuyo
174,AR,Universidad Nacional de Entre Ríos
175,AR,Universidad Nacional de Formosa
176,AR,Universidad Nacional de General San Martín
177,AR,Universidad Nacional de General Sarmiento
178,AR,Universidad Nacional de Jujuy
179,AR,Universidad Nacional de La Matanza
180,AR,Universidad Nacional de Lanus
181,AR,Universidad Nacional de La Pampa
182,AR,Universidad Nacional de la Patagonia Austral
183,AR,"Universidad Nacional de la Patagonia ""San Juan Bosco"""
184,AR,Universidad Nacional de La Plata
185,AR,Universidad Nacional de La Rioja
186,AR,Universidad Nacional del Centro de la Provincia de Buenos Aires
187,AR,Universidad Nacional del Comahue
188,AR,Universidad Nacional del Littoral
189,AR,Universidad Nacional del Nordeste
190,AR,Universidad Nacional del Noroeste de la Provincia de Buenos Aires
191,AR,Universidad Nacional de Lomas de Zamora
192,AR,Universidad Nacional del Sur
193,AR,Universidad Nacional de Luján
194,AR,Universidad Nacional de Mar del Plata
195,AR,Universidad Nacional de Misiones
196,AR,Universidad Nacional de Quilmes
197,AR,Universidad Nacional de Río Cuarto
198,AR,Universidad Nacional de Rosario
199,AR,Universidad Nacional de Salta
200,AR,Universidad Nacional de San Juan
201,AR,Universidad Nacional de San Luis
202,AR,Universidad Nacional de Santiago del Estero
203,AR,Universidad Nacional de Tres de Febrero
204,AR,Universidad Nacional de Tucumán
205,AR,Universidad Nacional de Villa María
206,AR,Universidad Notarial Argentina
207,AR,Universidad Tecnológica Nacional
208,AR,Universidad Torcuato di Tella
209,AT,Akademie der bildenden Künste Wien
210,AT,Donau-Universität Krems
211,AT,Fachhochschule Burgenland
212,AT,Fachhochschule für Bank- und Finanzwirtschaft
213,AT,Fachhochschule JOANNEUM
214,AT,Fachhochschule Kärnten
215,AT,Fachhochschule Krems
216,AT,Fachhochschule Kufstein (Tirol)
217,AT,Fachhochschule Salzburg
218,AT,Fachhochschule St. Pölten
219,AT,Fachhochschule Vorarlberg
220,AT,Fachhochschule Wiener Neustadt
221,AT,Fachhochschulstudiengänge der Wiener Wirtschaft
222,AT,Fachhochschulstudiengänge Hagenberg
223,AT,Fachhochschulstudiengänge Krems IMC
224,AT,Fachhochschulstudiengänge Steyr
225,AT,Fachhochschulstudiengänge Wels
226,AT,Institute of Science and Technology
227,AT,Katholisch-Theologische Privatuniversität Linz
228,AT,MCI-Management Center Innsbruck
229,AT,Medizinische Universität Graz
230,AT,Medizinische Universität Innsbruck
231,AT,Medizinische Universität Wien
232,AT,Montanuniversität Leoben
233,AT,Private Universität für Medizinische Informatik und Technik Tirol
234,AT,Technikum Wien
235,AT,Technische Universität Graz
236,AT,Technische Universität Wien
237,AT,Universität für angewandte Kunst Wien
238,AT,Universität für Bodenkultur Wien
239,AT,Universität für künstlerische und industrielle Gestaltung Linz
240,AT,Universität für Musik und darstellende Kunst Graz
241,AT,Universität für Musik und darstellende Kunst  Wien
242,AT,Universität Graz
243,AT,Universität Innsbruck
244,AT,Universität Klagenfurt
245,AT,Universität Linz
246,AT,Universität Mozarteum Salzburg
247,AT,Universität Salzburg
248,AT,Universität Vienna
249,AT,Veterinärmedizinische Universität Wien
250,AT,"Webster University, Vienna"
251,AT,Wirtschaftsuniversität Wien
252,AU,Australian Catholic University
253,AU,Australian Correspondence Schools
254,AU,Australian Defence Force Academy
255,AU,Australian Lutheran College
256,AU,Australian Maritime College
257,AU,Australian National University
258,AU,Avondale College
259,AU,Batchelor Institute of Indigenous Tertiary Education
260,AU,Blue Mountains Hotel School
261,AU,Bond University
262,AU,Central Queensland University
263,AU,Charles Darwin University
264,AU,Charles Sturt University
265,AU,Curtin University of Technology
266,AU,Deakin University
267,AU,Edith Cowan University
268,AU,Flinders University of South Australia
269,AU,Griffith University
270,AU,Holmes Institute
271,AU,"Institute Of Technology, Australia"
272,AU,International College of Tourism and Hotel Management
273,AU,James Cook University of North Queensland
274,AU,La Trobe University
275,AU,Macquarie University
276,AU,Marcus Oldham College
277,AU,Monash University
278,AU,Murdoch University
279,AU,Queensland University of Technology
280,AU,Royal Melbourne Institute of Technology
281,AU,Southern Cross University
282,AU,Swinburne University of Technology
283,AU,University of Adelaide
284,AU,University of Ballarat
285,AU,University of Canberra
286,AU,University of Divinity
287,AU,University of Melbourne
288,AU,University of Newcastle
289,AU,University of New England
290,AU,University of New South Wales
291,AU,University of Notre Dame Australia
292,AU,University of Queensland
293,AU,University of South Australia
294,AU,University of Southern Queensland
295,AU,University of Sydney
296,AU,University of Tasmania
297,AU,University of Technology Sydney
298,AU,University of the Sunshine Coast
299,AU,University of Western Australia
300,AU,University of Western Sydney
301,AU,University of Wollongong
302,AZ,Academy of Public Administration
303,AZ,Azerbaijan Diplomatic Academy
304,AZ,Azerbaijan International University
305,AZ,Azerbaijan Medical University
306,AZ,Azerbaijan National Conservatorie
307,AZ,Azerbaijan State Economic University
308,AZ,Azerbaijan State Oil Academy
309,AZ,Azerbaijan Technical University
310,AZ,Azerbaijan Technology University
311,AZ,Azerbaijan Toursim Institute
312,AZ,Azerbaijan University
313,AZ,Azerbaijan University ol Languages
314,AZ,Baki Business University
315,AZ,Baku Slavic University
316,AZ,Baku State University
317,AZ,Ganja State University
318,AZ,Khazar University
319,AZ,Lankaran State University
320,AZ,Nakhchivan Private University
321,AZ,Nakhchivan State University
322,AZ,National Aviation Academy
323,AZ,Odlar Yurdu University
324,AZ,Police Academy
325,AZ,Qafqaz University
326,AZ,Sumgait State University
327,AZ,Western University
328,BA,American University
329,BA,International Burch University
330,BA,International University of Sarajevo
331,BA,International University of Travnik
332,BA,Sarajevo Film Academy
333,BA,Slobomir P Univerzitet
334,BA,University of Banja Luka
335,BA,University of Bihac
336,BA,University of East Srarajevo
337,BA,University of Mostar
338,BA,University of Sarajevo
339,BA,University of Tuzla
340,BA,University of Zenica
341,BA,University Vitez In Travnik
342,BA,"Univerzitet u Mostaru ""Dzemal Bijedic"""
343,BB,"University of the West Indies, Cave Hill"
344,BD,Ahsanullah University of Science & Technology
345,BD,American International University - Bangladesh
346,BD,Asa University Bangladesh
347,BD,Asian University of Bangladesh
348,BD,Atish Dipankar University
349,BD,Bangabandhu Sheikh Mujibur Rahman Agricultural University
350,BD,Bangabandhu Sheikh Mujibur Rahman Medical University
351,BD,Bangladesh Agricultural University
352,BD,Bangladesh Open University
353,BD,Bangladesh University
354,BD,Bangladesh University of Business & Technology
355,BD,Bangladesh University of Engineering and Technology
356,BD,Bangladesh University of Professionals
357,BD,Bangladesh University of Textiles
358,BD,"Begum Rokeya University, Rangpur"
359,BD,"BGC Trust University, Bangladesh"
360,BD,Brac University
361,BD,Chittagong Independent University
362,BD,Chittagong University of Engineering and Technology
363,BD,City University
364,BD,Comilla University
365,BD,Daffodil International University
366,BD,Darul Ihsan University
367,BD,Dhaka International University
368,BD,Dhaka University of Engineering and Technology
369,BD,East Delta University
370,BD,Eastern University
371,BD,East West University
372,BD,"East-West University, Mohakhali"
373,BD,Green University of Bangladesh
374,BD,Hajee Mohammad Danesh Science and Technology University
375,BD,IBAIS University
376,BD,"Independent University, Bangladesh"
377,BD,International Culture University
378,BD,International Islamic University Chittagong
379,BD,International University of Business Agriculture and Technology
380,BD,Islamic University Kushtia
381,BD,Islamic University of Technology
382,BD,Jagannath University
383,BD,Jahangirnagar University
384,BD,Jatiya Kabi Kazi Nazrul Islam University
385,BD,Khulna University
386,BD,Khulna University of Engineering And Technology
387,BD,Leading University
388,BD,Manarat International University
389,BD,Mawlana Bhashani Science And Technology University
390,BD,Metropolitan University
391,BD,Military Institute of Science and Technology
392,BD,National University
393,BD,Noakhali University of Science and Technology
394,BD,North East University Bangladesh
395,BD,Northern University Bangladesh
396,BD,North South University
397,BD,Pabna University of Science and Technology
398,BD,Patuakhali Science and Technology University
399,BD,People's University of Bangladesh
400,BD,Premier University
401,BD,Presidency University
402,BD,Queens University
403,BD,Rajshahi University of Engineering and Technology
404,BD,Shahjalal University of Science and Technology
405,BD,Southeast University
406,BD,Southern University Bangladesh
407,BD,Stamford University
408,BD,Sylhet Agricultural University
409,BD,Sylhet Engineering College
410,BD,Sylhet International University
411,BD,United International University
412,BD,"University of Asia Pacific, Dhanmondi"
413,BD,University of Chittagong
414,BD,University of Development Alternative
415,BD,University of Dhaka
416,BD,University of Information Technology & Sciences
417,BD,University of Liberal Arts
418,BD,University of Rajshahi
419,BD,University of Science & Technology Chittagong
420,BD,World University of Bangladesh
421,BE,Brexgata University Academy
422,BE,Brussels Management School (ICHEC)
423,BE,Brussels School of International Studies
424,BE,College of Europe
425,BE,Continental Theological Seminary
426,BE,ECAM - Institut Supérieur Industriel
427,BE,EHSAL - Europese Hogeschool Brussel
428,BE,Erasmushogeschool Brussel
429,BE,European Carolus Magnus University
430,BE,European International University
431,BE,"Evangelische Theologische Faculteit, Leuven"
432,BE,Faculté Polytechnique de Mons
433,BE,Facultés Universitaires Catholiques de Mons
434,BE,Facultés Universitaires Notre-Dame de la Paix
435,BE,Facultés Universitaires Saint-Louis
436,BE,Faculté Universitaire des Sciences Agronomiques de Gembloux
437,BE,Fondation Universitaire Luxembourgeoise
438,BE,Hasselt University
439,BE,Hogere Zeevaartschool - Maritime Academy
440,BE,Hogeschool Antwerpen
441,BE,"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel"
442,BE,Hogeschool voor Wetenschap & Kunst
443,BE,Hogeschool West-Vlaanderen (TU)
444,BE,Karel De Grote Hogeschool
445,BE,Katholieke Hogeschool Kempen
446,BE,Katholieke Hogeschool Leuven
447,BE,Katholieke Hogeschool Limburg
448,BE,Katholieke Universiteit Brussel
449,BE,Katholieke Universiteit Leuven
450,BE,"Katholieke Universiteit Leuven, Campus Kortrijk"
451,BE,Royal Military Academy
452,BE,Thierry Graduate School of Leadership
453,BE,United Business Institute
454,BE,Université Catholique de Louvain
455,BE,Université de Liège
456,BE,Université de Mons-Hainaut
457,BE,Universiteit Antwerpen
458,BE,Universiteit Antwerpen Management School
459,BE,"Universiteit Antwerpen, UFSIA"
460,BE,Universiteit Gent
461,BE,Université Libre de Bruxelles
462,BE,Vesalius College
463,BE,Vlerick Leuven Gent Management School
464,BE,Vrije Universiteit Brussel
465,BF,Université de Ouagadougou
466,BG,"Academy of Economics ""Dimitur A. Tscenov"""
467,BG,"Academy of Music, Dance and Fine Arts"
468,BG,Agricultural University of Plovdiv
469,BG,American University in Bulgaria
470,BG,Bourgas Free University
471,BG,"Bourgas University ""Prof. Assen Zlatarov"""
472,BG,City University Programs in Bulgaria
473,BG,International University College
474,BG,Medical University of Sofia
475,BG,Medical University Pleven
476,BG,Medical University Plovdiv
477,BG,Medical University Varna
478,BG,Military University Shoumen
479,BG,"National Academy for Theatre and Film Arts ""Krustju Sarafov"""
480,BG,National Academy of Arts
481,BG,"National Academy of Music ""Pantcho Vladigerov"""
482,BG,National Sports Academy Sofia
483,BG,New Bulgarian University
484,BG,"Shoumen University ""Konstantin Preslavski"""
485,BG,"Sofia University ""St. Kliment Ohridski"""
486,BG,"South-West University ""Neofit Rilski"""
487,BG,Technical University of Gabrovo
488,BG,Technical University of Sofia
489,BG,Technical University of Varna
490,BG,Trakia University Stara Zagora
491,BG,"University of Architecture, Civil Engineering and Geodesy"
492,BG,University of Chemical Technology and Metallurgy
493,BG,University of Economics Varna
494,BG,University of Food Technology
495,BG,University of Forestry Sofia
496,BG,"University of Mining and Geology ""St. Ivan Rils"""
497,BG,University of National and World Economy
498,BG,University of Plovdiv
499,BG,University of Rousse
500,BG,Varna Free University
501,BG,"Veliko Turnovo University ""Cyril and Methodius"""
502,BH,Al Ahlia University
503,BH,Ama International University
504,BH,Applied Science University
505,BH,Arabian Gulf University
506,BH,Arab Open University
507,BH,Bahrain Polytechnic
508,BH,Gulf University College
509,BH,New York Instiute of Technology
510,BH,RCSI-Medical University of Bahrain
511,BH,The Kingdom University
512,BH,University College Bahrain
513,BH,University of Bahrain
514,BI,Hope Africa University
515,BI,Université du Burundi
516,BI,Université Lumière de Bujumbura
517,BJ,Espam Formation University
518,BJ,Houdegbe North American University Benin
519,BJ,Université d'Abomey-Calavi (UAC)
520,BM,Bermuda College
521,BN,Institut Teknologi Brunei
522,BN,Universiti Islam Sultan Sharif Ali
523,BN,University of Brunei Darussalam
524,BO,Escuela Militar de Ingeniería
525,BO,Universidad Adventista de Bolivia
526,BO,Universidad Amazonica de Pando
527,BO,Universidad Andina Simón Bolivar
528,BO,"Universidad Autónoma del Beni ""José Ballivián"""
529,BO,Universidad Autónoma Gabriel René Moreno
530,BO,Universidad Autónoma Juan Misael Saracho
531,BO,Universidad Autónoma Tomás Frías
532,BO,"Universidad Católica Boliviana, Cochabamba"
533,BO,"Universidad Católica Boliviana, La Paz"
534,BO,"Universidad Católica Boliviana, Santa Cruz"
535,BO,"Universidad Católica Boliviana, Tarija"
536,BO,Universidad Central
537,BO,Universidad de Aquino Bolivia
538,BO,Universidad Domingo Savio
539,BO,Universidad Empresarial Mateo Kuljis
540,BO,Universidad Juan Misael Saracho
541,BO,Universidad Los Andes
542,BO,Universidad Mayor de San Andrés
543,BO,Universidad Mayor de San Simón
544,BO,Universidad Nacional Siglo XX Llallagua
545,BO,Universidad Nuestra Senora de La Paz
546,BO,Universidad NUR
547,BO,Universidad Privada Abierta Latinoamericana
548,BO,Universidad Privada Boliviana
549,BO,Universidad Privada del Valle
550,BO,Universidad Privada de Santa Cruz de la Sierra
551,BO,Universidad Privada Franz Tamayo (UNIFRANZ)
552,BO,Universidad Salesiana de Bolivia
553,BO,Universidad San Francisco Xavier
554,BO,Universidad San Francisco Xavier de Chuquisaca
555,BO,Universidad Técnica de Oruro
556,BR,Centro Regional Universitário de Espiríto Santo do Pinhal
557,BR,Centro Universitário Adventista de São Paulo
558,BR,Centro Universitário Barao de Maua
559,BR,Centro Universitário Claretiano
560,BR,Centro Universitário de Araraquara
561,BR,Centro Universitário de João Pessoa
562,BR,Centro Universitário Monte Serrat
563,BR,Centro Universitário Newton Paiva
564,BR,Centro Universitário Plinio Leite
565,BR,Centro Universitário Senac
566,BR,Centro Universitário Serra dos Órgãos
567,BR,EMESCAM - Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória
568,BR,FAAP - Fundação Armando Alvares Penteado
569,BR,Faculdade Integradas do Ceará
570,BR,Faculdade Italo Brasileira
571,BR,Faculdade Jaguariúna
572,BR,Faculdades Integradas Curitiba
573,BR,Faculdades Integradas do Brasil - UNIBRASIL
574,BR,Faculdades Integradas Toledo
575,BR,Faculdades Integradas UPIS
576,BR,FAE Business School - Faculdade de Administração e Economia
577,BR,Fundação Educacional de Ituverava
578,BR,Instituto Mauá de Tecnologia
579,BR,Instituto Nacional de Matemática Pura e Aplicada - IMPA
580,BR,Instituto Tecnológico de Aeronáutica
581,BR,Pontifícia Universidade Católica de Campinas
582,BR,Pontifícia Universidade Católica de Minas Gerais
583,BR,Pontifícia Universidade Católica de São Paulo
584,BR,Pontificia Universidade Católica do Paraná
585,BR,Pontifícia Universidade Católica do Rio de Janeiro
586,BR,Pontifícia Universidade Católica do Rio Grande do Sul
587,BR,Universidade Bandeirante de São Paulo
588,BR,Universidade Braz Cubas
589,BR,Universidade Camilo Castelo Branco
590,BR,Universidade Candido Mendes
591,BR,Universidade Castelo Branco
592,BR,Universidade Católica de Brasília
593,BR,Universidade Católica de Goiás
594,BR,Universidade Católica de Pelotas
595,BR,Universidade Católica de Pernambuco
596,BR,Universidade Católica de Petrópolis
597,BR,Universidade Católica de Salvador
598,BR,Universidade Católica de Santos
599,BR,Universidade Católica Dom Bosco
600,BR,Universidade Cidade de São Paulo
601,BR,Universidade Cruzeiro do Sul
602,BR,Universidade da Amazônia
603,BR,Universidade da Região da Campanha
604,BR,Universidade de Alfenas
605,BR,Universidade de Brasília
606,BR,Universidade de Caxias do Sul
607,BR,Universidade de Cruz Alta
608,BR,Universidade de Fortaleza
609,BR,Universidade de Franca
610,BR,Universidade de Guarulhos
611,BR,Universidade de Itaúna
612,BR,Universidade de Marília
613,BR,Universidade de Mogi das Cruzes
614,BR,Universidade de Nova Iguaçu
615,BR,Universidade de Passo Fundo
616,BR,Universidade de Pernambuco
617,BR,Universidade de Ribeirão Preto
618,BR,Universidade de Santa Cruz do Sul
619,BR,Universidade de Santo Amaro
620,BR,Universidade de São Paulo
621,BR,Universidade de Taubaté
622,BR,Universidade de Tocantins
623,BR,Universidade de Uberaba
624,BR,Universidade de Vila Velha
625,BR,Universidade do Amazonas
626,BR,Universidade do Estado da Bahia
627,BR,Universidade do Estado de Santa Catarina
628,BR,Universidade do Estado do Rio de Janeiro
629,BR,Universidade do Estado do Rio Grande do Norte
630,BR,Universidade do Extremo Sul Catarinense
631,BR,Universidade do Grande Rio
632,BR,Universidade do Oeste de Santa Catarina
633,BR,Universidade do Oeste Paulista
634,BR,Universidade do Rio de Janeiro
635,BR,Universidade do Rio Grande
636,BR,Universidade do Sagrado Coração
637,BR,Universidade do Sul de Santa Catarina
638,BR,Universidade do Vale do Itajaí
639,BR,Universidade Estácio de Sá
640,BR,Universidade Estadual da Paraíba
641,BR,Universidade Estadual de Campinas
642,BR,Universidade Estadual de Feira de Santana
643,BR,Universidade Estadual de Londrina
644,BR,Universidade Estadual de Maringá
645,BR,Universidade Estadual de Montes Claros
646,BR,Universidade Estadual de Ponta Grossa
647,BR,Universidade Estadual de Santa Cruz
648,BR,Universidade Estadual do Ceará
649,BR,Universidade Estadual do Centro-Oeste
650,BR,Universidade Estadual do Maranhão
651,BR,Universidade Estadual do Norte Fluminense
652,BR,Universidade Estadual do Oeste do Paraná
653,BR,Universidade Estadual do Piauí
654,BR,Universidade Estadual do Vale do Acaraú
655,BR,Universidade Estadual Paulista
656,BR,Universidade Estadual Sudoeste da Bahia
657,BR,Universidade Federal da Bahia
658,BR,Universidade Federal da Grande Dourados
659,BR,Universidade Federal da Paraíba
660,BR,Universidade Federal de Alagoas
661,BR,Universidade Federal de Campina Grande
662,BR,Universidade Federal de Goiás
663,BR,Universidade Federal de Juiz de Fora
664,BR,Universidade Federal de Lavras
665,BR,Universidade Federal de Mato Grosso
666,BR,Universidade Federal de Mato Grosso do Sul
667,BR,Universidade Federal de Minas Gerais
668,BR,Universidade Federal de Ouro Preto
669,BR,Universidade Federal de Pelotas
670,BR,Universidade Federal de Pernambuco
671,BR,Universidade Federal de Rondônia
672,BR,Universidade Federal de Roraima
673,BR,Universidade Federal de Santa Catarina
674,BR,Universidade Federal de Santa Maria
675,BR,Universidade Federal de São Carlos
676,BR,Universidade Federal de São Paulo
677,BR,Universidade Federal de Sergipe
678,BR,Universidade Federal de Uberlândia
679,BR,Universidade Federal de Viçosa
680,BR,Universidade Federal do ABC
681,BR,Universidade Federal do Acre
682,BR,Universidade Federal do Amapá
683,BR,Universidade Federal do Ceará
684,BR,Universidade Federal do Espírito Santo
685,BR,Universidade Federal do Maranhão
686,BR,Universidade Federal do Pará
687,BR,Universidade Federal do Paraná
688,BR,Universidade Federal do Piauí
689,BR,Universidade Federal do Rio de Janeiro
690,BR,Universidade Federal do Rio Grande do Norte
691,BR,Universidade Federal do Rio Grande do Sul
692,BR,Universidade Federal do Vale do São Francisco
693,BR,Universidade Federal Fluminense
694,BR,Universidade Federal Rural de Pernambuco
695,BR,Universidade Federal Rural do Rio de Janeiro
696,BR,Universidade Federal Rural do Semi-Árido
697,BR,Universidade Gama Filho
698,BR,Universidade Ibirapuera
699,BR,Universidade Luterana do Brasil
700,BR,Universidade Mackenzie
701,BR,Universidade Metodista de Piracicaba
702,BR,Universidade Metropolitana de Santos
703,BR,Universidade para o Desenvolvimento do Alto Vale do Itajaí
704,BR,Universidade Paulista
705,BR,Universidade Potiguar
706,BR,Universidade Regional de Blumenau
707,BR,Universidade Regional do Cariri
708,BR,Universidade Regional do Noroeste do Estado do Rio Grande do Sul
709,BR,Universidade Regional Integrada do Alto Uruguai e das Missões
710,BR,Universidade Salgado de Oliveira
711,BR,Universidade Salvador
712,BR,Universidade Santa Cecília dos Bandeirantes
713,BR,Universidade Santa Úrsula
714,BR,Universidade São Francisco
715,BR,Universidade São Judas Tadeu
716,BR,Universidade São Marcos
717,BR,Universidade Tiradentes
718,BR,Universidade Vale do Paraiba
719,BR,Universidade Vale do Rio Doce
720,BR,Universidade Vale do Rio dos Sinos
721,BR,Universidade Veiga de Almeida
722,BS,The College of The Bahamas
723,BT,Royal University of Bhutan
724,BW,ABM University College
725,BW,Botho University
726,BW,Botswana Accountancy College
727,BW,Botswana College of Agriculture
728,BW,Botswana International University of Science & Technology
729,BW,Gaborone Universal College of Law
730,BW,"New Era College of Arts, Science & Technology"
731,BW,University of Botswana
732,BY,Academy of Public Administration of Belarus
733,BY,Academy of the Ministry of Internal Affairs of the Republic of Belarus
734,BY,Belarusian-Russian University
735,BY,Belarussian National Technical University
736,BY,Belarussian State Academy of Music
737,BY,Belarussian State Agrarian Technical University
738,BY,Belarussian State Agricultural Academy
739,BY,Belarussian State Economic University
740,BY,Belarussian State Medical University
741,BY,Belarussian State Pedagogical University M. Tanka
742,BY,Belarussian State Polytechnical Academy
743,BY,Belarussian State Technological University
744,BY,Belarussian State University
745,BY,Belarussian State University of Culture and Arts
746,BY,Belarussian State University of Informatics and Radioelectronics
747,BY,Belarussian State University of Transport
748,BY,Brest State Technical University
749,BY,Brest State University
750,BY,European Humanities University
751,BY,Gomel State Medical University
752,BY,Gomel State Technical University Pavel Sukhoi
753,BY,Gomel State University Francisk Scarnia
754,BY,Grodno State Agrarian University
755,BY,Grodno State Medical University
756,BY,Grodno State University Yanka Kupaly
757,BY,Institute for Command Engineers of The Ministry for Emergency Situations
